site_group,site_id,station,chl_p75_site,chl_units,n_station_days,history_first,history_last,min_readings,t_star_site,frozen_at_utc,model_version,code_version,protocol_version
lis_buoy,WLIS_ECO_FL,WLIS_ECO_FL,247.50096153846155,"ECO-FL fluorescence, night-only, uncalibrated",1692,2021-03-05,2026-09-06,12,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
lis_buoy,EXRX_ECO_FL,EXRX_ECO_FL,385.85872252747254,"ECO-FL fluorescence, night-only, uncalibrated",1834,2019-05-15,2026-09-06,12,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
nerrs,kac_ss,kac_ss,3.1125,"ug/L ChlFluor (QARTOD 1,2)",3571,2011-01-27,2025-12-31,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
nerrs,kac_h3,kac_h3,2.7687500000000003,"ug/L ChlFluor (QARTOD 1,2)",2021,2012-06-28,2026-05-11,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,MSC,MSC,23.66598958333333,ug/L TChlPreCal,3883,2013-03-28,2026-09-06,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,AWS,AWS,25.88463541666667,ug/L TChlPreCal,3443,2016-05-26,2026-09-02,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,AES,AES,25.281666666666666,ug/L TChlPreCal,3293,2016-05-25,2026-09-02,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,MAB,MAB,10.954322916666666,ug/L TChlPreCal,1691,2018-04-06,2026-09-06,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,RIV,RIV,79.74309895833333,ug/L TChlPreCal,2232,2014-04-10,2026-08-25,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
chesapeake,SPS,SPS,18.7734375,ug/L TChlPreCal,2433,2010-04-15,2026-08-25,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,edu_ucsc_scwharf1,edu_ucsc_scwharf1,27.267930240491218,site fluorometer units (see catalog),2327,2013-02-14,2026-08-17,48,0.9000000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,scripps-pier-automated-shore-sta-1,scripps-pier-automated-shore-sta-1,1.3291601140918903,site fluorometer units (see catalog),563,2024-12-04,2026-09-06,48,,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,oa2-mbari-buoy,oa2-mbari-buoy,10.35445314397396,site fluorometer units (see catalog),2771,2015-05-14,2026-09-05,48,0.8500000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,newport-pier-automated-shore-sta,newport-pier-automated-shore-sta,13.318990121083203,site fluorometer units (see catalog),4502,2013-01-24,2026-08-11,48,0.8,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,mlml_mlml_sea,mlml_mlml_sea,3.780286918325347,site fluorometer units (see catalog),5309,2010-09-03,2026-09-06,48,0.6000000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,tiburon-water-tibc1,tiburon-water-tibc1,3.824675218340611,site fluorometer units (see catalog),4808,2008-08-08,2026-09-06,48,0.7000000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,edu_calpoly_marine_morro,edu_calpoly_marine_morro,2.8608824479166666,site fluorometer units (see catalog),3319,2016-01-02,2026-09-06,48,0.6500000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,edu_humboldt_humboldt,edu_humboldt_humboldt,4.027083333333334,site fluorometer units (see catalog),2949,2013-02-15,2026-09-06,48,0.35,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,indian-river-lagoon-banana-river,indian-river-lagoon-banana-river,4.3862796875,site fluorometer units (see catalog),1618,2022-01-01,2026-07-01,12,0.6000000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
erddap_top,indian-river-lagoon-vero-beach-i,indian-river-lagoon-vero-beach-i,3.867730662064493,site fluorometer units (see catalog),3939,2014-12-17,2026-09-06,12,0.7500000000000001,2026-09-06T19:13:45Z,5c0f7a1701599d2a,d5b638c-dirty,1.1
