dataset_id,server,n_test,test_years,base_rate,zs_precision,zs_pod,zs_lift,zs_lift_lo,zs_lift_hi,zs_auc,refit_precision,refit_pod,refit_lift,refit_lift_lo,refit_lift_hi,refit_auc,delta_lift,delta_auc
edu_ucsc_scwharf1,IOOS-Sensors,589,2016-2020,0.21561969439728354,0.5761589403973509,0.6850393700787402,2.672107211764092,1.0899653979238755,5.424578313253012,0.8488257149674473,0.6532258064516129,0.6377952755905512,3.029527559055118,0.9653092006033183,6.556623931623931,0.885093908715956,0.357420347291026,0.03626819374850865
edu_humboldt_humboldt,IOOS-Sensors,1473,2020-2026,0.18737270875763748,0.4686192468619247,0.8115942028985508,2.5010005457522286,2.173151408450704,2.961622437448072,0.8696378627728744,0.4565826330532213,0.5905797101449275,2.4367616611862135,2.0375745590252303,2.975296612598154,0.8571640453791484,-0.06423888456601512,-0.012473817393725994
edu_calpoly_marine_morro,IOOS-Sensors,1824,2019-2026,0.2730263157894737,0.5766423357664233,0.7931726907630522,2.1120393984697916,1.859678847269286,2.435116864121346,0.8646902845166489,0.5107084019769358,0.6224899598393574,1.8705464361564879,1.6164950585856976,2.194002508329945,0.8364574436509236,-0.24149296231330375,-0.028232840865725306
newport-pier-automated-shore-sta,IOOS-Sensors,2516,2016-2026,0.1383147853736089,0.46731234866828086,0.5545977011494253,3.3786145668086056,2.8574049844340452,4.105945877161039,0.8258306559358697,0.38666666666666666,0.3333333333333333,2.7955555555555556,1.8552821877873227,4.2710481129214966,0.7821347340628578,-0.58305901125305,-0.043695921873011856
mlml_mlml_sea,IOOS-Sensors,2701,2015-2026,0.23102554609403925,0.534504391468005,0.6826923076923077,2.3136159637100664,1.7209082265868538,3.233035012841396,0.8337033041986099,0.4474789915966387,0.6826923076923077,1.9369242889463478,1.343440705034716,3.191903931244428,0.8156241126871844,-0.37669167476371856,-0.018079191511425563
scripps-pier-automated-shore-sta-1,IOOS-Sensors,2831,2016-2026,0.16213352172377252,0.4557926829268293,0.6514161220043573,2.811218050905999,2.5052710862806444,3.131358451448094,0.8331813238692516,0.5673575129533679,0.477124183006536,3.4993226997189204,2.7900287954418417,4.395150780429313,0.8192800354168275,0.6881046488129212,-0.01390128845242411
ism-gcoos-sccf_16,IOOS-Sensors,1437,2011-2017,0.47947112038970074,0.5504587155963303,0.783744557329463,1.1480539540086019,1.0681564161008992,1.2407100569855827,0.6655493507602275,0.5601118359739049,0.872278664731495,1.1681868044912938,1.043636542170564,1.3641616560895264,0.661718137578293,0.020132850482691866,-0.0038312131819344675
glos_leoc,IOOS-Sensors,838,2018-2022,0.3556085918854415,0.4376130198915009,0.8120805369127517,1.2306030559365027,1.1399195795843617,1.303816046966732,0.7251180710912255,0.42857142857142855,0.6442953020134228,1.2051773729626079,1.010403706643531,1.7870423340961097,0.6051019139945315,-0.025425682973894803,-0.120016157096694
nss_005,PacIOOS,1195,2015-2026,0.38744769874476986,0.5335570469798657,0.6868250539956804,1.377107281081943,1.1032569215376722,1.7326773162527078,0.7050124514628993,0.5186721991701245,0.8099352051835853,1.338689585331099,1.0530820285836424,2.0280463468068293,0.7999504301950925,-0.03841769575084397,0.09493797873219323
nss_010,PacIOOS,2449,2014-2026,0.3311555737035525,0.5183189655172413,0.593094944512947,1.5651826714571195,1.2788357013171872,2.0070531734710135,0.7058218873878553,0.397172236503856,0.7620221948212084,1.199352413314357,1.008837316837084,1.5833413241582952,0.691586533756694,-0.3658302581427626,-0.014235353631161352
mlml_monterey,IOOS-Sensors,167,2018-2019,0.3532934131736527,0.6730769230769231,0.5932203389830508,1.905149934810952,1.2162162162162162,1.9338842975206612,0.7799748901443816,0.36585365853658536,0.5084745762711864,1.0355518809425381,0.6020583190394512,1.1183597390493942,0.6905210295040803,-0.8695980538684138,-0.08945386064030125
