server,dataset_id,n_stations,years,n_onset,n_test,tp,fp,fn,base_rate,precision,pod,lift,lift_lo,lift_hi,auc,auc_lo,auc_hi,precision_lo,precision_hi,t_star
IOOS-Sensors,2nd-avenue-pier,1,4.9,,,,,,,,,,,,,,,,,
NERACOOS,UNH_GBB,1,3.2,329.0,329.0,67.0,122.0,13.0,0.24316109422492402,0.3544973544973545,0.8375,1.4578703703703701,1.2027655562539283,1.8634482758620687,0.7208835341365463,0.5362637362637362,0.8454011741682975,0.06315789473684211,0.648936170212766,0.3
NERACOOS,UNH_WBD,1,2.0,263.0,263.0,14.0,13.0,16.0,0.11406844106463879,0.5185185185185185,0.4666666666666667,4.545679012345679,2.4370370370370367,4.545679012345679,0.813304721030043,0.7381381381381381,0.813304721030043,0.5185185185185185,0.5185185185185185,0.7000000000000001
IOOS-Sensors,apache-pier,1,9.7,2411.0,2411.0,745.0,701.0,276.0,0.4234757362090419,0.5152143845089903,0.7296767874632712,1.216632596524168,1.081588349260645,1.4183255079602892,0.6766581641640654,0.6016296244817616,0.7574045476786011,0.4074508101851852,0.639449884613993,0.25
IOOS-Sensors,bodega-bay-bml_wts,1,14.2,4494.0,4494.0,466.0,2517.0,112.0,0.12861593235425012,0.1562185719074757,0.8062283737024222,1.2146129102979166,1.106334472300982,1.3513544133088107,0.694665174547858,0.6164426554364251,0.743768174783286,0.08794721552685543,0.25497322986610566,0.35000000000000003
IOOS-Sensors,carquinez,1,11.4,2111.0,2111.0,262.0,436.0,93.0,0.16816674561819042,0.3753581661891118,0.7380281690140845,2.2320594051414506,1.6657428458859977,2.861147826334044,0.8190044595591773,0.7443940819123477,0.8698576357390727,0.23863574738710314,0.47803794324583343,0.6000000000000001
IOOS-Sensors,cherry-grove-pier,1,9.7,2203.0,2203.0,895.0,1304.0,0.0,0.40626418520199725,0.4070031832651205,1.0,1.0018190086402912,1.0,1.0041608085420108,0.6744033280371755,0.6319927203776833,0.7113729703965358,0.32403469383524014,0.5012023906673981,0.05
IOOS-Sensors,com_aquaamerica_leash,1,5.6,904.0,904.0,248.0,344.0,21.0,0.2975663716814159,0.4189189189189189,0.9219330855018587,1.4078167386717573,1.123393073200242,1.9962331029940008,0.7426221350583965,0.6085470563545122,0.883180979357109,0.21153846153846154,0.5404260494856824,0.2
IOOS-Sensors,com_aquaamerica_lementor,1,4.5,786.0,786.0,216.0,263.0,41.0,0.32697201017811706,0.4509394572025052,0.8404669260700389,1.3791377951796462,1.303325826219033,1.5230790491984523,0.7510757394099431,0.709213279194729,0.7885309196784607,0.3319386331938633,0.6054794520547945,0.2
IOOS-Sensors,edu_calpoly_marine_morro,1,9.6,2224.0,2224.0,384.0,236.0,223.0,0.272931654676259,0.6193548387096774,0.6326194398682042,2.269267152043365,2.025095807286185,2.602303524578562,0.8571423477283681,0.8122606878617911,0.8982455944871054,0.4911764159137997,0.7500117260787992,0.6500000000000001
IOOS-Sensors,edu_humboldt_humboldt,1,8.7,2064.0,2064.0,331.0,461.0,56.0,0.1875,0.41792929292929293,0.8552971576227391,2.228956228956229,2.0031284839693795,2.521895811131853,0.863813349481278,0.8233288454028963,0.9005416814874893,0.37323690761205625,0.4700102427921092,0.35000000000000003
IOOS-Sensors,edu_humboldt_tdp,1,8.7,2050.0,2050.0,396.0,257.0,305.0,0.34195121951219515,0.6064318529862175,0.5649072753209701,1.7734455044532749,1.6506989929907818,1.9417905885948357,0.7497924705678324,0.7118162746370459,0.7827470661061199,0.5400488022803047,0.678993757077299,0.55
IOOS-Sensors,edu_ucsc_scwharf1,1,12.6,1557.0,1557.0,55.0,40.0,79.0,0.08606294155427104,0.5789473684210527,0.41044776119402987,6.727022780832679,3.1555705341347062,17.16417924614936,0.9079147481146621,0.8640590934334935,0.969578106300316,0.24993556701030928,0.8529659616655649,0.9000000000000001
IOOS-Sensors,fort-johnson,1,5.6,1454.0,1454.0,380.0,705.0,23.0,0.27716643741403024,0.35023041474654376,0.9429280397022333,1.2636104790111033,1.0709657670527013,1.5222293933247282,0.8181042278062013,0.6988289700644873,0.9002455050906202,0.1678463094034378,0.5046728971962616,0.15000000000000002
IOOS-Sensors,fort-point,1,12.7,3379.0,3379.0,110.0,299.0,91.0,0.05948505474992601,0.26894865525672373,0.5472636815920398,4.521281124937659,2.4067359343294594,12.700884609351723,0.7600950564985018,0.640125744216575,0.8704402072031907,0.15617977366892768,0.5575926743159753,0.8
IOOS-Sensors,glos_crib,1,5.1,433.0,433.0,121.0,119.0,44.0,0.3810623556581986,0.5041666666666667,0.7333333333333333,1.3230555555555554,1.0462758112094395,1.5139784946236559,0.6883084577114428,0.520802640108433,0.7390815154994259,0.3355824682814302,0.6536566721431177,0.35000000000000003
IOOS-Sensors,glos_leavon,1,6.6,1234.0,1234.0,247.0,398.0,33.0,0.22690437601296595,0.3829457364341085,0.8821428571428571,1.6876965669988926,1.4737729772565042,1.9210842679050772,0.8186826145552561,0.7940953789327881,0.8423489441076544,0.3409436834094368,0.43423423423423424,0.25
IOOS-Sensors,glos_leelyria,1,6.6,1216.0,1216.0,395.0,404.0,65.0,0.3782894736842105,0.49436795994993743,0.8586956521739131,1.3068509549980956,1.1437340506241809,1.4690828924162256,0.7419887278582931,0.6785047903298619,0.7926330926689813,0.4394394394394394,0.5804066543438078,0.2
IOOS-Sensors,glos_lemrbhd,1,5.3,382.0,382.0,122.0,103.0,28.0,0.39267015706806285,0.5422222222222223,0.8133333333333334,1.3808592592592592,1.2369840180409843,1.7565891472868216,0.7539224137931034,0.6526834685364455,0.8273149297706404,0.4489795918367347,0.5976424738052645,0.25
IOOS-Sensors,glos_leoc,1,7.0,1436.0,1436.0,162.0,71.0,350.0,0.3565459610027855,0.6952789699570815,0.31640625,1.950040236051502,1.5899024563537063,2.364239445206523,0.7036323051948052,0.6205977513207488,0.74439301293751,0.4761544011544011,0.7965616045845272,0.7500000000000001
IOOS-Sensors,glos_leorgn,1,6.6,1396.0,1396.0,525.0,597.0,27.0,0.3954154727793696,0.4679144385026738,0.9510869565217391,1.183348833604588,1.1084799900202549,1.2789293368153527,0.7021998849508895,0.659514798208639,0.7524833008245109,0.387546468401487,0.5486643309112681,0.1
IOOS-Sensors,glos_lsps,1,6.6,1178.0,1178.0,302.0,330.0,72.0,0.3174872665534805,0.4778481012658228,0.8074866310160428,1.5050937521153456,1.1286989350008063,2.224789399249831,0.7738978902280044,0.6565556131248101,0.8734292408272835,0.3070480479064504,0.5970055634340564,0.3
IOOS-Sensors,gov-ndbc-44061,1,1.3,207.0,207.0,56.0,108.0,18.0,0.357487922705314,0.34146341463414637,0.7567567567567568,0.9551746868820041,0.9551746868820041,1.0,0.49618979882137776,0.15333333333333332,0.5585338398761784,0.14285714285714285,0.3953488372093023,0.05
IOOS-Sensors,gov-ndbc-44063,1,2.3,279.0,279.0,87.0,72.0,24.0,0.3978494623655914,0.5471698113207547,0.7837837837837838,1.3753187149413566,0.995837669094693,1.5466666666666666,0.7960639210639211,0.723391812865497,0.8870967741935484,0.42857142857142855,0.9354838709677419,0.3
IOOS-Sensors,gov-ndbc-44069,1,7.8,,,,,,,,,,,,,,,,,
IOOS-Sensors,gov-ndbc-45013,1,5.3,776.0,776.0,162.0,289.0,53.0,0.2770618556701031,0.35920177383592017,0.7534883720930232,1.296467797658949,1.0064951162675393,1.4958564497555946,0.6895576835385316,0.5379062736205594,0.7793813106400418,0.19850187265917604,0.5262909612778054,0.3
IOOS-Sensors,gov-ndbc-45014,1,7.2,188.0,188.0,50.0,14.0,20.0,0.3723404255319149,0.78125,0.7142857142857143,2.098214285714286,0.9560975609756097,4.440259740259741,0.8983050847457628,0.38611111111111107,0.9748338081671416,0.6451612903225806,0.9538461538461539,0.5
IOOS-Sensors,indian-river-lagoon-banana-river,1,3.5,920.0,920.0,129.0,158.0,78.0,0.225,0.44947735191637633,0.6231884057971014,1.9976771196283392,1.4079664570230608,2.564950980392157,0.8081116057212161,0.7643625192012289,0.845203957735927,0.3870967741935484,0.5245901639344263,0.6000000000000001
IOOS-Sensors,indian-river-lagoon-fort-pierce-,1,10.7,2765.0,2765.0,668.0,503.0,442.0,0.4014466546112116,0.5704526046114432,0.6018018018018018,1.4209922988744508,1.2625798583960404,1.5967844278376748,0.6929054734492801,0.6276496405944261,0.7520576012193417,0.5079556577123332,0.6360781730346948,0.6500000000000001
