source,station,product,n,spearman,kappa
narragansett,B12,olci300,379,0.050382646664880765,0.05071549230141925
narragansett,B12w,olci300,98,0.07738015543612008,0.055935363579863284
narragansett,B13,olci300,347,0.1475695831870112,0.027028269363364665
narragansett,B14,olci300,257,0.1771285524781086,0.000925583117363904
narragansett,B2,olci300,361,0.31753082467708715,0.08438278820493594
narragansett,B3,olci300,298,0.12977938221490057,0.03140749397414355
narragansett,B3w,olci300,203,0.08055799721801413,0.03083665962275961
narragansett,B4,olci300,292,-0.03272712637756633,0.033333333333333326
narragansett,B6,olci300,363,0.24209896608902978,0.07889273356401394
narragansett,B7,olci300,330,0.3438643418857951,0.11913458836751889
narragansett,F5,olci300,296,0.17523086565283585,0.024630541871921152
chesapeake,BUD,olci300,56,-0.2339229265995167,-0.08571428571428563
chesapeake,HAD,olci300,272,0.24057908789632226,0.12442396313364057
chesapeake,HAU,olci300,91,0.06202692431561281,0.07065967430306375
chesapeake,MAB,olci300,448,0.04308925986544972,0.13609467455621305
chesapeake,MSC,olci300,437,0.04837673956714881,0.014353085913471397
chesapeake,PUB,olci300,138,0.5159097006223353,0.29911788291900565
chesapeake,SPS,olci300,192,0.13896764889389762,-0.03853955375253548
nerrs,kac_h3,olci300,287,0.4794850311986015,0.3384624968851234
nerrs,kac_sd,olci300,89,0.44620740729746683,0.22560596643878184
nerrs,kac_ss,olci300,241,0.3734215821346203,0.22740330571630796
cefas_full,wgab2,olci300,419,0.09391497341341941,0.15362229526157223
cefas_full,lbay,olci300,438,0.15864823516294418,0.19741280974686304
cefas_full,dows,olci300,268,0.0186506525764674,0.030612244897959218
imos,NRSDAR,olci300,1092,0.5849343882716596,0.16477987421383644
imos,NRSMAI,olci300,105,0.27645727881411225,0.44774754173336384
imos,NRSNSI,olci300,313,0.7002594478230321,0.4514940462817344
imos,NRSROT,olci300,1136,0.6570060954038575,0.43377885783718106
imos,NRSYON,olci300,791,0.43942857230838217,0.3385047363699487
lake_erie,WE02,olci300,122,0.34798972972794356,0.20067390490453008
lake_erie,WE04,olci300,129,0.536650268336315,0.37661082474226804
lake_erie,WE08,olci300,100,0.6787158715871586,0.2676056338028169
lake_erie,WE13,olci300,106,0.5751820036778599,0.39740119112073635
sfbay,CacheSloughLiberty,olci300,294,0.03414924755044567,-0.025960472245776467
sfbay,DeckerIsland,olci300,231,0.14625883122612302,0.13586437440305643
sfbay,VanSickle,olci300,1018,0.2882221245315868,0.24920278666518103
narragansett,B12,dineof2k,1123,0.051462161036413503,0.04912347066469325
narragansett,B12w,dineof2k,399,-0.15553683727303236,-0.1876588628762541
narragansett,B13,dineof2k,1041,-0.13183170787030762,-0.07213946085191769
narragansett,B14,dineof2k,1228,-0.03429957659309034,0.07954545454545459
narragansett,B2,dineof2k,1016,0.05935672389494319,0.06882591093117407
narragansett,B3,dineof2k,1007,0.1299046247166435,0.01165939432639207
narragansett,B3w,dineof2k,802,0.09001307336903246,-0.01865908609792233
narragansett,B3W,dineof2k,97,-0.22089410929436798,-0.07964382883997034
narragansett,B4,dineof2k,994,0.12094409277596435,-0.01811911290897661
narragansett,B6,dineof2k,1031,0.12974417752955097,0.004984625177747337
narragansett,B7,dineof2k,1025,0.14285110045453706,-0.039678122415434336
narragansett,F4,dineof2k,1601,0.2536726744333476,0.09139883185254782
narragansett,F5,dineof2k,2165,-0.08604092115942509,-0.07316823965926433
narragansett,F7,dineof2k,2090,-0.019816416015216828,0.02929896964425527
chesapeake,AES,dineof2k,2001,-0.010771707323358252,-0.014846958057637138
chesapeake,AWS,dineof2k,2119,-0.004778314564717739,-0.03286929363473812
chesapeake,BUD,dineof2k,155,0.06786117108697753,0.20478837109876014
chesapeake,GYK,dineof2k,425,-0.21683544105922997,-0.18927899960648853
chesapeake,HAD,dineof2k,540,0.1450881095909958,0.1328413284132841
chesapeake,HAU,dineof2k,554,0.20497916525883442,0.05331955324321469
chesapeake,IPL,dineof2k,1888,-0.06269331680123776,-0.0516363636363637
chesapeake,JUG,dineof2k,2146,-0.2160609653107097,-0.043050092533050366
