source,station,product,days,valid,frac,frac_ffill3
narragansett,B12,olci300,2727,684,0.2508250825082508,0.6655665566556656
narragansett,B12w,olci300,958,256,0.267223382045929,0.6983298538622129
narragansett,B13,olci300,2728,699,0.2562316715542522,0.6840175953079178
narragansett,B14,olci300,2703,471,0.17425083240843509,0.5271920088790233
narragansett,B2,olci300,2723,737,0.27065736320235034,0.6911494674990819
narragansett,B3,olci300,2728,626,0.22947214076246333,0.6224340175953079
narragansett,B3w,olci300,2389,459,0.1921305985768104,0.5604855588112181
narragansett,B3W,olci300,204,23,0.11274509803921569,0.39215686274509803
narragansett,B4,olci300,2708,637,0.23522895125553914,0.621861152141802
narragansett,B6,olci300,2722,749,0.275165319617928,0.6936076414401176
narragansett,B7,olci300,2723,729,0.2677194271024605,0.6808666911494675
narragansett,F5,olci300,2797,298,0.10654272434751519,0.35252055774043617
chesapeake,BUD,olci300,850,72,0.08470588235294117,0.28823529411764703
chesapeake,FLT,olci300,497,53,0.10663983903420524,0.3762575452716298
chesapeake,HAD,olci300,1334,338,0.25337331334332835,0.651424287856072
chesapeake,HAU,olci300,1303,120,0.0920951650038373,0.3123561013046815
chesapeake,MAB,olci300,2097,668,0.318550309966619,0.748211731044349
chesapeake,MSC,olci300,2752,544,0.19767441860465115,0.5617732558139535
chesapeake,PPT,olci300,220,10,0.045454545454545456,0.17727272727272728
chesapeake,PUB,olci300,1643,318,0.1935483870967742,0.5538648813146683
chesapeake,SPS,olci300,2726,519,0.19038884812912693,0.5337490829053558
nerrs,kac_h3,olci300,2671,566,0.21190565331336578,0.507675028079371
nerrs,kac_sd,olci300,710,90,0.1267605633802817,0.33098591549295775
nerrs,kac_ss,olci300,2700,443,0.16407407407407407,0.40074074074074073
cefas_full,wgab2,olci300,2787,920,0.33010405453893077,0.7294581987800502
cefas_full,lbay,olci300,2766,745,0.2693420101229212,0.665943600867679
cefas_full,dows,olci300,1112,305,0.27428057553956836,0.6969424460431655
imos,NRSDAR,olci300,2801,1327,0.4737593716529811,0.8361299535880042
imos,NRSMAI,olci300,580,153,0.2637931034482759,0.7448275862068966
imos,NRSNSI,olci300,1046,313,0.29923518164435947,0.7858508604206501
imos,NRSROT,olci300,2794,1324,0.47387258410880456,0.8775948460987831
imos,NRSYON,olci300,2429,926,0.3812268423219432,0.8246191848497324
lake_erie,WE02,olci300,838,190,0.22673031026252982,0.6420047732696897
lake_erie,WE04,olci300,881,206,0.23382519863791146,0.6549375709421112
lake_erie,WE08,olci300,865,170,0.19653179190751446,0.5895953757225434
lake_erie,WE13,olci300,840,184,0.21904761904761905,0.6142857142857143
sfbay,CacheSloughLiberty,olci300,2751,369,0.1341330425299891,0.40021810250817885
sfbay,DeckerIsland,olci300,1017,315,0.30973451327433627,0.7620452310717798
sfbay,VanSickle,olci300,2643,1090,0.41241013999243287,0.7987135830495649
narragansett,B12,dineof2k,2006,2005,0.9995014955134596,1.0
narragansett,B12w,dineof2k,958,958,1.0,1.0
narragansett,B13,dineof2k,2007,2007,1.0,1.0
narragansett,B14,dineof2k,2002,2002,1.0,1.0
narragansett,B2,dineof2k,2002,2002,1.0,1.0
narragansett,B3,dineof2k,2007,2007,1.0,1.0
narragansett,B3w,dineof2k,1675,1675,1.0,1.0
narragansett,B3W,dineof2k,156,156,1.0,1.0
narragansett,B4,dineof2k,1979,1979,1.0,1.0
narragansett,B6,dineof2k,2002,2002,1.0,1.0
narragansett,B7,dineof2k,2002,2002,1.0,1.0
narragansett,F4,dineof2k,2115,1929,0.9120567375886525,0.9144208037825059
narragansett,F5,dineof2k,2191,2188,0.998630762209037,1.0
narragansett,F7,dineof2k,2191,2189,0.9990871748060246,1.0
chesapeake,AES,dineof2k,2191,2188,0.998630762209037,1.0
chesapeake,AWS,dineof2k,2191,2188,0.998630762209037,1.0
chesapeake,BUD,dineof2k,177,177,1.0,1.0
chesapeake,GYK,dineof2k,930,776,0.8344086021505376,0.8408602150537634
chesapeake,HAD,dineof2k,631,631,1.0,1.0
chesapeake,HAU,dineof2k,631,631,1.0,1.0
chesapeake,IPL,dineof2k,2191,2034,0.9283432222729348,0.9365586490187129
chesapeake,JUG,dineof2k,2191,2188,0.998630762209037,1.0
chesapeake,LMN,dineof2k,2084,2071,0.9937619961612284,0.9980806142034548
chesapeake,MAB,dineof2k,2097,2094,0.9985693848354793,1.0
chesapeake,MSC,dineof2k,2168,2165,0.9986162361623616,1.0
chesapeake,MTI,dineof2k,2191,2188,0.998630762209037,1.0
chesapeake,NPC,dineof2k,931,931,1.0,1.0
chesapeake,OPC,dineof2k,2128,2125,0.9985902255639098,1.0
chesapeake,PUB,dineof2k,920,920,1.0,1.0
chesapeake,RIV,dineof2k,2031,2029,0.999015263417036,1.0
chesapeake,SGC,dineof2k,2042,2041,0.9995102840352595,1.0
chesapeake,SPS,dineof2k,2052,2051,0.9995126705653021,1.0
