product,source,station,onsets,obs1,obs3
olci300,narragansett,B12,48,0.7916666666666666,0.2916666666666667
olci300,narragansett,B12w,13,0.8461538461538461,0.38461538461538464
olci300,narragansett,B13,59,0.8135593220338984,0.1694915254237288
olci300,narragansett,B14,50,0.78,0.04
olci300,narragansett,B2,46,0.8043478260869565,0.3695652173913043
olci300,narragansett,B3,61,0.7704918032786885,0.18032786885245902
olci300,narragansett,B3w,24,0.7083333333333334,0.20833333333333334
olci300,narragansett,B3W,5,0.4,0.0
olci300,narragansett,B4,45,0.7111111111111111,0.1111111111111111
olci300,narragansett,B6,47,0.8085106382978723,0.23404255319148937
olci300,narragansett,B7,54,0.7222222222222222,0.07407407407407407
olci300,narragansett,F5,76,0.5657894736842105,0.05263157894736842
olci300,chesapeake,BUD,10,0.3,0.0
olci300,chesapeake,FLT,6,0.5,0.16666666666666666
olci300,chesapeake,HAD,27,0.9259259259259259,0.4074074074074074
olci300,chesapeake,HAU,17,0.47058823529411764,0.0
olci300,chesapeake,MAB,47,0.9148936170212766,0.3617021276595745
olci300,chesapeake,MSC,111,0.7297297297297297,0.14414414414414414
olci300,chesapeake,PPT,4,0.25,0.0
olci300,chesapeake,PUB,31,0.7096774193548387,0.12903225806451613
olci300,chesapeake,SPS,32,0.65625,0.15625
olci300,nerrs,kac_h3,34,0.7941176470588235,0.2647058823529412
olci300,nerrs,kac_sd,18,0.5555555555555556,0.2222222222222222
olci300,nerrs,kac_ss,31,0.7419354838709677,0.3870967741935484
olci300,cefas_full,wgab2,23,0.9130434782608695,0.4782608695652174
olci300,cefas_full,lbay,33,0.8787878787878788,0.36363636363636365
olci300,cefas_full,dows,17,1.0,0.6470588235294118
olci300,imos,NRSDAR,82,0.8536585365853658,0.5
olci300,imos,NRSMAI,8,1.0,0.25
olci300,imos,NRSNSI,46,0.8913043478260869,0.30434782608695654
olci300,imos,NRSROT,82,0.9634146341463414,0.5487804878048781
olci300,imos,NRSYON,61,0.9672131147540983,0.4426229508196721
olci300,lake_erie,WE02,23,0.8695652173913043,0.17391304347826086
olci300,lake_erie,WE04,20,0.85,0.15
olci300,lake_erie,WE08,16,0.75,0.1875
olci300,lake_erie,WE13,16,0.875,0.0625
olci300,sfbay,CacheSloughLiberty,45,0.4666666666666667,0.044444444444444446
olci300,sfbay,DeckerIsland,11,0.6363636363636364,0.2727272727272727
olci300,sfbay,VanSickle,39,0.8461538461538461,0.5384615384615384
dineof2k,narragansett,B12,35,1.0,1.0
dineof2k,narragansett,B12w,13,1.0,1.0
dineof2k,narragansett,B13,39,1.0,1.0
dineof2k,narragansett,B14,35,1.0,1.0
dineof2k,narragansett,B2,40,1.0,1.0
dineof2k,narragansett,B3,46,1.0,1.0
dineof2k,narragansett,B3w,19,1.0,1.0
dineof2k,narragansett,B3W,5,1.0,1.0
dineof2k,narragansett,B4,34,1.0,1.0
dineof2k,narragansett,B6,34,1.0,1.0
dineof2k,narragansett,B7,35,1.0,1.0
dineof2k,narragansett,F4,34,0.9411764705882353,0.9411764705882353
dineof2k,narragansett,F5,63,1.0,1.0
dineof2k,narragansett,F7,64,1.0,1.0
dineof2k,chesapeake,AES,118,1.0,1.0
dineof2k,chesapeake,AWS,130,1.0,1.0
dineof2k,chesapeake,BUD,2,1.0,1.0
dineof2k,chesapeake,GYK,19,0.9473684210526315,0.9473684210526315
dineof2k,chesapeake,HAD,15,1.0,1.0
dineof2k,chesapeake,HAU,13,1.0,1.0
dineof2k,chesapeake,IPL,120,0.9583333333333334,0.95
dineof2k,chesapeake,JUG,50,1.0,1.0
dineof2k,chesapeake,LMN,52,1.0,1.0
dineof2k,chesapeake,MAB,47,1.0,1.0
dineof2k,chesapeake,MSC,85,1.0,1.0
dineof2k,chesapeake,MTI,23,1.0,1.0
dineof2k,chesapeake,NPC,13,1.0,1.0
dineof2k,chesapeake,OPC,37,1.0,1.0
dineof2k,chesapeake,PUB,16,1.0,1.0
dineof2k,chesapeake,RIV,22,1.0,1.0
dineof2k,chesapeake,SGC,27,1.0,1.0
dineof2k,chesapeake,SPS,24,1.0,1.0
dineof2k,chesapeake,SUS,34,1.0,1.0
dineof2k,nerrs,kac_h3,22,0.9545454545454546,0.9090909090909091
dineof2k,nerrs,kac_ss,19,1.0,0.9473684210526315
