n_test,tp,fp,fn,precision,pod,base_rate,lift,product,repr,model,label,scope,t_star,auc,n_pos,n_stations,precision_lo,lift_lo,auc_lo,precision_hi,lift_hi,auc_hi
8529,1624,5022,435,0.24435750827565453,0.7887323943661971,0.2414116543557275,1.0122026168446128,olci300,obs,zeroshot,sonde,onset,0.05,0.537518325322612,2059,38,0.21683528783311035,0.9534004815198819,0.49707569457904444,0.27238049381839385,1.0716152526672416,0.579545737805016
7363,1435,3391,306,0.2973476999585578,0.8242389431361287,0.236452532934945,1.2575365392273756,olci300,obs,refit,sonde,onset,0.3,0.6423506283573334,1741,36,0.26057802871039887,1.189174169723597,0.6092569540034514,0.33502776064286716,1.3224966584659439,0.6729266004555042
6823,1822,2965,388,0.38061416335909753,0.8244343891402715,0.323904440861791,1.175081645519965,olci300,obs,refit_satlabel,satellite,onset,0.325,0.6546740816088312,2210,36,0.3503304274995967,1.1192407621026075,0.6196635397231154,0.40885292958900654,1.2388247908060201,0.6862288590140684
8529,1400,4421,659,0.24050850369352345,0.6799417192812045,0.2414116543557275,0.9962588771258191,olci300,obs,chl_rule,sonde,onset,0.5,0.49831707293271965,2059,38,0.2145707474134993,0.9272857437280012,0.46570111880120507,0.2688103638100377,1.070456958333094,0.5301918102789792
7363,875,1701,866,0.33967391304347827,0.5025847214244687,0.236452532934945,1.4365416552206378,olci300,obs,climatology,sonde,onset,0.5,0.6420568984037641,1741,36,0.28779563326306684,1.2933129787007134,0.606906702176888,0.3946030218407669,1.582522017051606,0.6770086485775795
6653,942,1340,621,0.4127957931638913,0.6026871401151631,0.23493160980009017,1.7570891950859686,olci300,obs,sonde_refit,sonde,onset,0.42500000000000004,0.7319938484125158,1563,29,0.3668246978373191,1.6153854644949175,0.6999341783840863,0.461446194563275,1.9119398051664278,0.7629507720785829
19789,2993,8480,1890,0.2608733548330864,0.612942862994061,0.24675324675324675,1.057223595902508,olci300,ffill3,zeroshot,sonde,onset,0.35000000000000003,0.527602410562537,4883,38,0.23382209471251642,0.979711985437029,0.4921687955527201,0.290533593980524,1.141977773738742,0.5639659227985988
16513,3492,7809,508,0.3089992036103,0.873,0.2422333918730697,1.275625962304221,olci300,ffill3,refit,sonde,onset,0.3,0.6580137556940782,4000,36,0.2778367515794026,1.2240216732429943,0.6267264675507439,0.342201824177531,1.3258255442956255,0.6871901878691888
15700,2720,4525,2065,0.3754313319530711,0.5684430512016719,0.30477707006369426,1.2318227610581434,olci300,ffill3,refit_satlabel,satellite,onset,0.4,0.6170504578219365,4785,36,0.3397573878991901,1.1542938984078692,0.5833491514610569,0.40951707121680525,1.307532913698604,0.6507546712003682
19789,3273,10425,1610,0.23893999123959703,0.670284661069015,0.24675324675324675,0.9683357539709985,olci300,ffill3,chl_rule,sonde,onset,0.5,0.48545093109803894,4883,38,0.21701535158843574,0.9109273791754344,0.45867043810364627,0.2620466753065834,1.0298730302636376,0.5133931442014182
16513,2055,3755,1945,0.35370051635111877,0.51375,0.2422333918730697,1.460164156626506,olci300,ffill3,climatology,sonde,onset,0.5,0.6590662510988572,4000,36,0.30782055964072447,1.3280538435381501,0.6263186591320371,0.4045947115492254,1.5954495380629374,0.6882420052911128
14897,2300,3088,1348,0.4268745360059391,0.6304824561403509,0.244881519769081,1.7431880380703058,olci300,ffill3,sonde_refit,sonde,onset,0.4,0.7398177108920403,3648,29,0.3865966771538896,1.6185585160955231,0.7123993927247108,0.46880576809312186,1.874671460269611,0.766825358241264
33397,6415,16384,2585,0.28137198999956137,0.7127777777777777,0.2694852831092613,1.0441089277794835,dineof2k,obs,zeroshot,sonde,onset,0.15000000000000002,0.5578983982547945,9000,45,0.25525023271934244,0.9924401319809778,0.5275071480498675,0.3089025636450943,1.0980269723278355,0.5887127813050311
26356,6128,13209,926,0.31690541449035525,0.8687269634250071,0.26764304143269085,1.184059980763794,dineof2k,obs,refit,sonde,onset,0.30000000000000004,0.658635389849143,7054,40,0.28747879978717283,1.1481795460029416,0.6324492459828479,0.34840163319879014,1.2224552704060876,0.6843327556375665
27625,3609,5655,2545,0.3895725388601036,0.58644783880403,0.22276923076923077,1.7487717559327856,dineof2k,obs,refit_satlabel,satellite,onset,0.4,0.7243123143313062,6154,40,0.35994342253677164,1.6321745416962234,0.6996353350786138,0.4215330072961098,1.879775857225371,0.7491546613531522
33397,6165,16514,2835,0.2718373826006438,0.685,0.2694852831092613,1.0087281185237444,dineof2k,obs,chl_rule,sonde,onset,0.5,0.5040567487805878,9000,45,0.24618699692448492,0.9616951075838235,0.4826156082601517,0.2992819451123429,1.0584439338316787,0.5264317214985046
26356,3843,6035,3211,0.389046365661065,0.5447972781400624,0.26764304143269085,1.4536016463514358,dineof2k,obs,climatology,sonde,onset,0.5,0.6613936572075676,7054,40,0.3480309996059372,1.3460855279555721,0.6339575379691389,0.43357940299523307,1.5736780277972333,0.687735757773863
25802,4556,5411,2357,0.45710845791110666,0.6590481701142774,0.2679249670568173,1.706106239117948,dineof2k,obs,sonde_refit,sonde,onset,0.4,0.7411850721893074,6913,38,0.4214132724414853,1.6024901369502007,0.7176396230534214,0.49398663331067794,1.816954778739897,0.763972294020315
33462,6422,16402,2593,0.28137048720644936,0.7123682750970605,0.2694100771023848,1.0443948134112266,dineof2k,ffill3,zeroshot,sonde,onset,0.15000000000000002,0.5574368616719187,9015,45,0.2553694024892014,0.993186676163453,0.5267706619336031,0.3090171149771348,1.0984870528093464,0.5882993152971852
26410,6194,13473,872,0.31494381451161846,0.8765921313331446,0.2675501703900038,1.17713927841096,dineof2k,ffill3,refit,sonde,onset,0.30000000000000004,0.6544607288318085,7066,40,0.28636344530711727,1.1457325948513348,0.6294324295874244,0.34579046780762884,1.2120058482488842,0.6782874735540997
27689,3768,6074,2423,0.3828490144279618,0.6086254240025843,0.22359059554335656,1.7122769117260273,dineof2k,ffill3,refit_satlabel,satellite,onset,0.375,0.7238573044978591,6191,40,0.35377423129039043,1.6024449235111256,0.7000878129140183,0.41587167736500397,1.830677085417521,0.7484577637130405
33462,6178,16559,2837,0.2717157056779698,0.6853022739877981,0.2694100771023848,1.008558063604684,dineof2k,ffill3,chl_rule,sonde,onset,0.5,0.5039797253687508,9015,45,0.2460111757176482,0.96133358191189,0.4827783099575964,0.2991473742015665,1.0580726911355507,0.5263172246840474
26410,3852,6069,3214,0.3882673117629271,0.5451457684687234,0.2675501703900038,1.4511944103678043,dineof2k,ffill3,climatology,sonde,onset,0.5,0.6614492833082478,7066,40,0.34761177233692814,1.344830478720687,0.6340244006632006,0.4328077977686153,1.5730869287340532,0.687615119354811
25853,4371,4887,2554,0.4721322099805574,0.6311913357400722,0.26786059644915483,1.762604191281928,dineof2k,ffill3,sonde_refit,sonde,onset,0.42500000000000004,0.7411198774150037,6925,38,0.4365620220816591,1.6517234147323925,0.7173784411066856,0.5091420219356145,1.8817664696191196,0.7638188017122394
3056,777,1466,202,0.3464110566205974,0.7936670071501533,0.32035340314136124,1.081340336090445,viirs4k,obs,zeroshot,sonde,onset,0.05,0.5410303912248701,979,19,0.3024501294161586,0.9980749234802757,0.4736711907269666,0.3936541153473139,1.174816444177035,0.6049034058814546
2147,533,876,145,0.37828246983676367,0.7861356932153393,0.3157894736842105,1.1978944878164184,viirs4k,obs,refit,sonde,onset,0.3,0.6062333455825507,678,18,0.31431135344234284,1.0910801473475267,0.5421621134593158,0.4456291380071867,1.3153460750799928,0.6674918228819362
2146,277,479,254,0.3664021164021164,0.5216572504708098,0.24743709226467847,1.4807889676062933,viirs4k,obs,refit_satlabel,satellite,onset,0.5,0.6807122492172604,531,18,0.3035424808221161,1.2884094167827034,0.6283524566975132,0.4292163967208498,1.6938875812469298,0.7254384871034645
3056,640,1247,339,0.33916269210386857,0.6537282941777324,0.32035340314136124,1.0587141849534447,viirs4k,obs,chl_rule,sonde,onset,0.5,0.5266715616290685,979,19,0.29687329115056055,0.9374890097897517,0.47018699145024034,0.3876617581436858,1.1971351063719529,0.5830081731791305
2147,410,725,268,0.36123348017621143,0.6047197640117994,0.3157894736842105,1.143906020558003,viirs4k,obs,climatology,sonde,onset,0.5,0.5860231409804595,678,18,0.2858252758823849,0.9848799517232107,0.515009115437372,0.44279349831713105,1.2906890230399695,0.6502789490818635
1677,349,517,155,0.40300230946882215,0.6924603174603174,0.3005366726296959,1.3409422082920925,viirs4k,obs,sonde_refit,sonde,onset,0.35000000000000003,0.6559865492090557,504,11,0.3355554323725055,1.186331858825621,0.5881521700393502,0.49768854682522157,1.5513836898743023,0.7339432819114177
6593,1612,3221,473,0.3335402441547693,0.7731414868105515,0.3162445017442742,1.0546910454256087,viirs4k,ffill3,zeroshot,sonde,onset,0.05,0.5189224485540227,2085,19,0.29600278580004863,0.9576912865677324,0.45744357789614043,0.37763481655338726,1.1638702608811156,0.58057259635944
4601,1100,1877,370,0.36949949613705074,0.7482993197278912,0.31949576179091504,1.1565082868888235,viirs4k,ffill3,refit,sonde,onset,0.3,0.6035746333026983,1470,18,0.3180168607283732,1.0834521040912861,0.5489045712302194,0.42579832482659336,1.2309964400749662,0.6518741888266413
4705,744,1259,456,0.37144283574638043,0.62,0.255047821466525,1.4563654518222664,viirs4k,ffill3,refit_satlabel,satellite,onset,0.4,0.6790706134094151,1200,18,0.30806984731127557,1.3131102757251725,0.6312464565599976,0.4228960806950545,1.6244679705024736,0.7193387866046455
6593,1341,2896,744,0.31649752183148455,0.6431654676258993,0.3162445017442742,1.000800077426848,viirs4k,ffill3,chl_rule,sonde,onset,0.5,0.5003759902459577,2085,19,0.27855862621629596,0.8972562725448749,0.4503597453088479,0.3602055465639502,1.1180909878467258,0.5524729233306321
4601,897,1569,573,0.3637469586374696,0.610204081632653,0.31949576179091504,1.138503235844216,viirs4k,ffill3,climatology,sonde,onset,0.5,0.5918268489126727,1470,18,0.29464136904761906,1.0052710633919713,0.528703170015353,0.43688282931856165,1.2640776380083087,0.6522188196923993
3555,745,1079,380,0.40844298245614036,0.6622222222222223,0.31645569620253167,1.2906798245614035,viirs4k,ffill3,sonde_refit,sonde,onset,0.35000000000000003,0.6391892089620484,1125,11,0.3513745331906763,1.169828190174462,0.5834185179688693,0.48260143304970887,1.4507878518918578,0.7040321053301921
7526,1531,4118,310,0.27102141972030447,0.8316132536664856,0.2446186553281956,1.1079343861026678,olci4k,obs,zeroshot,sonde,onset,0.15000000000000002,0.5628256888798437,1841,42,0.24268834479573956,1.0497439728558284,0.5308977495113976,0.3015140023410974,1.1715228286440826,0.5940759108643797
5562,1266,3386,145,0.2721410146173689,0.8972360028348689,0.253685724559511,1.0727486345158084,olci4k,obs,refit,sonde,onset,0.2,0.593565271046349,1411,39,0.23765194646853752,1.036172296645795,0.5572811691893541,0.3069660040562311,1.1087918918499458,0.6310020035363583
5050,1397,2875,325,0.3270131086142322,0.8112659698025552,0.340990099009901,0.9590105682356984,olci4k,obs,refit_satlabel,satellite,onset,0.1,0.476481010732154,1722,39,0.29608176442112705,0.9259746567777225,0.4439300554546915,0.36002584374990104,0.9884276689284031,0.5104353923213789
7526,1357,3901,484,0.2580829212628376,0.737099402498642,0.2446186553281956,1.055041860632328,olci4k,obs,chl_rule,sonde,onset,0.5,0.5254538349344573,1841,42,0.23093386637620325,0.9972269941492158,0.4986884535919856,0.2872702798814642,1.1169310467589932,0.5514487997953456
5562,552,939,859,0.3702213279678068,0.39121190644932674,0.253685724559511,1.4593699689276693,olci4k,obs,climatology,sonde,onset,0.5,0.6201456669138328,1411,39,0.3144134435392444,1.3099522310875413,0.5879486846453622,0.42656663803287304,1.632864366089298,0.6516453246906538
5384,791,1052,582,0.42919153553988065,0.5761107064821559,0.2550148588410104,1.6830059922408722,olci4k,obs,sonde_refit,sonde,onset,0.45,0.7094209968471626,1373,37,0.3836635327316879,1.5286670594207423,0.6733892158531345,0.47590662183020366,1.8626175028511875,0.7441347138831801
20011,4008,10901,977,0.26883090750553357,0.804012036108325,0.24911298785667882,1.0791525155653425,olci4k,ffill3,zeroshot,sonde,onset,0.15000000000000002,0.5495068327570226,4985,42,0.24170234958893924,1.024147002374491,0.5182457129047264,0.2981399898352568,1.1369583664827414,0.5792007744405575
