source,station,product,days_checked,valid_days,max_pixels
narragansett,B12,viirs4k,31,0,0
narragansett,B12,olci300,31,3,1
narragansett,B12w,olci300,31,3,1
narragansett,B13,olci300,31,3,1
narragansett,B14,olci300,31,3,1
narragansett,B2,olci300,31,2,1
narragansett,B3,olci300,31,4,1
narragansett,B3w,olci300,31,2,1
narragansett,B3W,olci300,31,2,1
narragansett,B3a,olci300,31,2,1
narragansett,UB2015,olci300,31,2,1
narragansett,B4,olci300,31,4,1
narragansett,B5,olci300,31,3,1
narragansett,B6,olci300,31,3,1
narragansett,B7,olci300,31,2,1
narragansett,F3,olci300,31,3,1
narragansett,F4,olci300,31,0,0
narragansett,F5,olci300,31,1,1
narragansett,F7,olci300,31,0,0
chesapeake,AES,olci300,31,0,0
chesapeake,AWS,olci300,31,0,0
chesapeake,BUD,olci300,31,5,1
chesapeake,COR,olci300,31,0,0
chesapeake,FLT,olci300,31,3,1
chesapeake,GOO,olci300,31,10,1
chesapeake,GYK,olci300,31,0,0
chesapeake,HAD,olci300,31,10,2
chesapeake,HAU,olci300,31,1,1
chesapeake,IPL,olci300,31,0,0
chesapeake,JUG,olci300,31,0,0
chesapeake,LMN,olci300,31,0,0
chesapeake,MAB,olci300,31,8,1
chesapeake,MAT,olci300,31,6,1
chesapeake,MSC,olci300,31,2,1
chesapeake,MTI,olci300,31,0,0
chesapeake,NPC,olci300,31,0,0
chesapeake,OPC,olci300,31,0,0
chesapeake,PPT,olci300,31,7,1
chesapeake,PUB,olci300,31,3,1
chesapeake,RIV,olci300,31,0,0
chesapeake,SGC,olci300,31,0,0
chesapeake,SPS,olci300,31,2,1
chesapeake,SUS,olci300,31,0,0
nerrs,cbm_ip,olci300,31,0,0
nerrs,cbm_mc,olci300,31,0,0
nerrs,cbm_oc,olci300,31,0,0
nerrs,cbm_rr,olci300,31,0,0
nerrs,kac_h3,olci300,31,14,1
nerrs,kac_sd,olci300,31,8,1
nerrs,kac_ss,olci300,31,8,1
nerrs,mar_ab,olci300,31,7,1
nerrs,mar_ce,olci300,31,10,1
nerrs,mar_cw,olci300,31,5,1
nerrs,mar_sc,olci300,31,0,0
nerrs,mar_mb,olci300,31,8,1
nerrs,sos_ch,olci300,31,3,1
nerrs,sos_se,olci300,31,0,0
nerrs,sos_va,olci300,31,0,0
nerrs,sos_wi,olci300,31,0,0
nerrs,wel_in,olci300,31,1,1
nerrs,wqb_cr,olci300,31,0,0
nerrs,wqb_mh,olci300,31,0,0
nerrs,wqb_mp,olci300,31,0,0
nerrs,wqb_sl,olci300,31,0,0
narragansett,B12,dineof2k,31,31,8
cefas_full,wgab,olci300,31,9,1
narragansett,B12,olci4k,31,5,9
narragansett,B12w,viirs4k,31,0,0
narragansett,B12w,dineof2k,31,31,8
narragansett,B12w,olci4k,31,5,9
narragansett,B13,viirs4k,31,0,0
cefas_full,wgab2,olci300,31,10,2
narragansett,B13,dineof2k,31,31,9
narragansett,B13,olci4k,31,4,9
narragansett,B14,viirs4k,31,0,0
narragansett,B14,dineof2k,31,31,6
narragansett,B14,olci4k,31,4,7
narragansett,B2,viirs4k,31,0,0
narragansett,B2,dineof2k,31,31,8
cefas_full,lbay,olci300,31,13,1
narragansett,B2,olci4k,31,5,9
narragansett,B3,viirs4k,31,0,0
narragansett,B3,dineof2k,31,31,8
narragansett,B3,olci4k,31,4,9
narragansett,B3w,viirs4k,31,0,0
narragansett,B3w,dineof2k,31,31,8
narragansett,B3w,olci4k,31,4,9
narragansett,B3W,viirs4k,31,0,0
narragansett,B3W,dineof2k,31,31,8
cefas_full,dows,olci300,31,10,1
narragansett,B3W,olci4k,31,4,9
narragansett,B3a,viirs4k,31,0,0
narragansett,B3a,dineof2k,31,31,8
narragansett,B3a,olci4k,31,4,9
narragansett,UB2015,viirs4k,31,0,0
narragansett,UB2015,dineof2k,31,31,8
narragansett,UB2015,olci4k,31,4,9
narragansett,B4,viirs4k,31,0,0
narragansett,B4,dineof2k,31,31,8
narragansett,B4,olci4k,31,3,8
narragansett,B5,viirs4k,31,0,0
cefas_full,oyst,olci300,31,12,1
narragansett,B5,dineof2k,31,31,9
narragansett,B5,olci4k,31,5,9
narragansett,B6,viirs4k,31,0,0
narragansett,B6,dineof2k,31,31,9
narragansett,B6,olci4k,31,5,9
narragansett,B7,viirs4k,31,0,0
narragansett,B7,dineof2k,31,31,9
narragansett,B7,olci4k,31,5,9
cefas_full,cdeep,olci300,31,10,1
narragansett,F3,viirs4k,31,0,0
narragansett,F3,dineof2k,31,31,9
narragansett,F3,olci4k,31,4,8
narragansett,F4,viirs4k,31,0,0
narragansett,F4,dineof2k,31,31,2
narragansett,F4,olci4k,31,3,3
narragansett,F5,viirs4k,31,0,0
cefas_full,cdeep2,olci300,31,9,1
narragansett,F5,dineof2k,31,31,5
narragansett,F5,olci4k,31,2,4
narragansett,F7,viirs4k,31,0,0
narragansett,F7,dineof2k,31,31,8
