source,station,lat,lon,name,coord_source
narragansett,B12,41.67995,-71.21515,Mount Hope Bay,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B12w,41.678967,-71.210067,Mount Hope Bay Winter Station,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B13,41.647967,-71.3195,Poppasquash Point,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B14,41.675867,-71.42455,Sally Rock,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B2,41.670233,-71.355933,North Prudence,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B3,41.714017,-71.343633,Conimicut Point,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B3w,41.7115,-71.3378,Upper Bay Winter Station,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B3W,41.7115,-71.3378,Upper Bay Winter Station (alt id of B3w),"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table); id variant of B3w, same site"
narragansett,B3a,41.7115,-71.3378,"Upper Bay Winter Station (alt id of B3w, 2009/2012 files)","data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table); id variant of B3w, same site"
narragansett,UB2015,41.7115,-71.3378,"Upper Bay Winter Station (alt id of B3w, 2016 file)","data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table); id variant of B3w, same site"
narragansett,B4,41.73205,-71.369283,Bullock Reach,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B5,41.639367,-71.393967,Mount View (2006 code for the B6 site),"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table); B5 = ""B5.GSO. Mt.View"" folder in NBFSMN 2006, same site as B6"
narragansett,B6,41.639367,-71.393967,Mount View,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,B7,41.58865,-71.380017,Quonset Point,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,F3,41.57885,-71.32145,T-Wharf (South Prudence),"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,F4,41.84175,-71.3722,Phillipsdale Landing,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
narragansett,F5,41.686067,-71.445917,Greenwich Bay,"data/raw/narragansett/extracted/nbfsmn.2023/MetadataIntro2023.docx (RIDEM NBFSMN metadata, ""2023 GPS Coordinates"" table)"
